,username,wither_skeleton,creeper,player,drowned,enderman,skeleton,zombie,stray,piglin,cave_spider,silverfish,spider,wolf,ender_dragon,iron_golem,vindicator,witch,zombie_villager,endermite,fox,vex,evoker,guardian,hoglin,phantom,ravager,shulker,wither,blaze,elder_guardian,husk,magma_cube,zombified_piglin,ghast,pillager,slime,piglin_brute,panda,armor_stand,bee,llama
172,Zoramy,,1.0,1.0,,,,2.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
173,KingDyte,,2.0,4.0,,2.0,7.0,4.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,KrunkJunks,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,MiniMichiii,,1.0,11.0,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
176,TheRealOne23765,,4.0,24.0,,2.0,2.0,,,,2.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,1.0,,,,
177,Aquatic_Phantasm,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,scoot1506,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,Hardy26,3.0,9.0,98.0,,,,4.0,,2.0,,,1.0,,,2.0,,,,,,2.0,,,,,1.0,,2.0,,,,,,,,,,,,,
180,JHH2017,,1.0,2.0,,,1.0,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,Florianm23,,1.0,45.0,,1.0,,4.0,,,,,,,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
182,PunnyFox,,3.0,3.0,,2.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,miner47000,,2.0,2.0,,3.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,CatGosCrazy,,5.0,15.0,,4.0,8.0,10.0,,,,,1.0,1.0,,1.0,1.0,,4.0,,,,,2.0,,,1.0,,,,,,,,,,,,,,,
185,MarioKing64,,4.0,25.0,,,3.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
186,TeKneeQ,,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,Snad03,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,firefly_o3,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,Blaz0,,2.0,1.0,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
